Date,ConfirmedTotalCases,TotalInfections,TotalNumberPeopleTested,TotalDeaths,DeathsPerDay,AdmittedToHospital,AdmittedToICU,PatientsInRespirator
M03D21,1326,NULL,11657,22,3,206,42,35
M03D22,1395,NULL,12351,25,3,232,46,40
M03D23,1450,NULL,12843,31,6,254,55,47
M03D24,1577,NULL,13756,37,6,301,59,58
M03D25,1715,NULL,14870,43,6,350,87,76
M03D26,1851,NULL,15981,55,12,386,94,78
M03D27,2010,NULL,17275,67,12,430,109,89
M03D28,2201,NULL,18810,76,9,459,121,104
M03D29,2395,NULL,20198,84,8,499,131,113
M03D30,2555,NULL,21378,95,11,533,137,119
M03D31,2815,NULL,23763,110,15,529,145,131
M04D01,3092,NULL,26776,132,22,535,146,129
M04D02,3355,1089,29921,150,18,525,153,138
M04D03,3672,1193,34388,170,20,517,143,116
M04D04,4077,1283,39928,185,15,507,142,112
M04D05,4369,1327,43734,197,12,504,144,107
M04D06,4647,1378,46916,214,17,503,139,108
M04D07,4978,1491,51544,226,12,472,127,103
M04D08,5386,1621,57535,241,15,453,127,103
M04D09,5635,1736,62210,254,13,433,120,100
M04D10,5819,1773,64731,270,16,401,113,95
M04D11,5996,1955,67771,281,11,408,106,90
M04D12,6174,2123,70125,292,11,396,104,85
M04D13,6318,2235,72099,308,16,388,100,87
M04D14,6496,2515,73919,320,12,380,93,80
M04D15,6681,2748,77712,330,10,362,89,75
M04D16,6879,3023,82380,342,12,353,92,72
M04D17,7073,3389,87024,351,9,350,93,74
M04D18,7242,3847,91437,361,10,317,87,76
M04D19,7384,4141,94277,367,6,319,84,73
M04D20,7515,4312,96244,374,7,336,84,72
M04D21,7695,4700,100543,386,12,335,81,72
M04D22,7912,5087,108465,400,14,324,80,68
M04D23,8073,5384,116621,410,10,319,74,61
M04D24,8210,5526,125329,416,6,320,69,58
M04D25,8445,5669,136738,421,5,290,70,56
M04D26,8575,5805,146915,426,5,285,70,56
M04D27,8698,5959,155810,435,9,310,72,55
M04D28,8851,6121,166846,445,10,284,66,50
