,modified_date,date,total_cases,total_recovered,total_tested,total_deaths,daily_deaths,daily_hospitalized,daily_patients_icu,daily_patients_ventilators,daily_cases
M03D21,2020-03D21,2020-03-21,1326,NA,11657,22,3,206,42,35,71
M03D22,2020-03D22,2020-03-22,1395,NA,12351,25,3,232,46,40,69
M03D23,2020-03D23,2020-03-23,1450,NA,12843,31,6,254,55,47,55
M03D24,2020-03D24,2020-03-24,1577,NA,13756,37,6,301,59,58,127
M03D25,2020-03D25,2020-03-25,1715,NA,14870,43,6,350,87,76,138
M03D26,2020-03D26,2020-03-26,1851,NA,15981,55,12,386,94,78,136
M03D27,2020-03D27,2020-03-27,2010,NA,17275,67,12,430,109,89,159
M03D28,2020-03D28,2020-03-28,2201,NA,18810,76,9,459,121,104,191
M03D29,2020-03D29,2020-03-29,2395,NA,20198,84,8,499,131,113,194
M03D30,2020-03D30,2020-03-30,2555,NA,21378,95,11,533,137,119,160
M03D31,2020-03D31,2020-03-31,2815,NA,23763,110,15,529,145,131,260
M04D01,2020-04D01,2020-04-01,3092,NA,26776,132,22,535,146,129,277
M04D02,2020-04D02,2020-04-02,3355,1089,29921,150,18,525,153,138,263
M04D03,2020-04D03,2020-04-03,3672,1193,34388,170,20,517,143,116,317
M04D04,2020-04D04,2020-04-04,4077,1283,39928,185,15,507,142,112,405
M04D05,2020-04D05,2020-04-05,4369,1327,43734,197,12,504,144,107,292
M04D06,2020-04D06,2020-04-06,4647,1378,46916,214,17,503,139,108,278
M04D07,2020-04D07,2020-04-07,4978,1491,51544,226,12,472,127,103,331
M04D08,2020-04D08,2020-04-08,5386,1621,57535,241,15,453,127,103,408
M04D09,2020-04D09,2020-04-09,5635,1736,62210,254,13,433,120,100,249
M04D10,2020-04D10,2020-04-10,5819,1773,64731,270,16,401,113,95,184
M04D11,2020-04D11,2020-04-11,5996,1955,67771,281,11,408,106,90,177
M04D12,2020-04D12,2020-04-12,6174,2123,70125,292,11,396,104,85,178
M04D13,2020-04D13,2020-04-13,6318,2235,72099,308,16,388,100,87,144
M04D14,2020-04D14,2020-04-14,6496,2515,73919,320,12,380,93,80,178
M04D15,2020-04D15,2020-04-15,6681,2748,77712,330,10,362,89,75,185
